"latitude","longitude","state","county"
33.634364,-98.015081,"TX","Clay"
38.465777,-81.050662,"WV","Clay"
33.518505,-84.337523,"GA","Clayton"
42.756961,-91.34453,"IA","Clayton"
39.75315,-105.635592,"CO","Clear Creek"
41.054375,-78.41095,"PA","Clearfield"
46.507385,-116.296141,"ID","Clearwater"
47.531644,-95.377949,"MN","Clearwater"
33.706595,-85.509902,"AL","Cleburne"
35.632128,-92.157022,"AR","Cleburne"
39.014823,-84.205859,"OH","Clermont"
33.866338,-92.276397,"AR","Cleveland"
35.254876,-81.691402,"NC","Cleveland"
35.208566,-97.44451,"OK","Cleveland"
37.824232,-79.823119,"VA","Clifton Forge City"
31.064114,-82.68954,"GA","Clinch"
41.9604,-90.636408,"IA","Clinton"
38.514316,-89.627154,"IL","Clinton"
40.211041,-86.64787,"IN","Clinton"
36.745738,-85.181967,"KY","Clinton"
42.819509,-84.483853,"MI","Clinton"
39.649352,-94.383777,"MO","Clinton"
44.71187,-73.637104,"NY","Clinton"
39.40252,-83.894217,"OH","Clinton"
41.105476,-77.50553,"PA","Clinton"
39.551634,-97.656764,"KS","Cloud"
34.256003,-90.634809,"MS","Coahoma"
34.592949,-96.303069,"OK","Coal"
33.912473,-84.557181,"GA","Cobb"
32.035885,-110.262611,"AZ","Cochise"
33.606603,-102.825745,"TX","Cochran"
36.104208,-83.121619,"TN","Cocke"
35.537441,-111.27586,"AZ","Coconino"
44.955643,-97.177954,"SD","Codington"
31.407434,-86.083517,"AL","Coffee"
31.549597,-82.987305,"GA","Coffee"
35.643787,-86.183248,"TN","Coffee"
38.236316,-95.733598,"KS","Coffey"
31.854544,-100.343161,"TX","Coke"
34.733866,-87.90624,"AL","Colbert"
38.595556,-92.370285,"MO","Cole"
31.745879,-99.458967,"TX","Coleman"
39.531041,-88.040616,"IL","Coles"
41.663195,-97.137751,"NE","Colfax"
36.512495,-104.919697,"NM","Colfax"
33.029619,-80.762449,"SC","Colleton"
25.855534,-81.38719,"FL","Collier"
33.208033,-96.646773,"TX","Collin"
34.840485,-100.204928,"TX","Collingsworth"
37.26219,-77.396989,"VA","Colonial Heights City"
29.60466,-96.524899,"TX","Colorado"
31.080682,-83.649138,"GA","Colquitt"
33.112106,-93.203998,"AR","Columbia"
30.105451,-82.68778,"FL","Columbia"
33.573999,-82.312058,"GA","Columbia"
42.309805,-73.565617,"NY","Columbia"
46.066499,-123.205886,"OR","Columbia"
41.218998,-76.395426,"PA","Columbia"
46.392683,-117.94953,"WA","Columbia"
43.342813,-89.557023,"WI","Columbia"
40.677372,-80.600629,"OH","Columbiana"
34.275295,-78.350029,"NC","Columbus"
39.0134,-121.996852,"CA","Colusa"
29.881355,-98.408614,"TX","Comal"
37.25486,-99.322574,"KS","Comanche"
34.635378,-98.448452,"OK","Comanche"
31.979672,-98.513844,"TX","Comanche"
31.174061,-99.876368,"TX","Concho"
31.308416,-91.823219,"LA","Concordia"
31.489241,-87.052004,"AL","Conecuh"
37.135059,-106.190367,"CO","Conejos"
37.832075,-121.916718,"CA","Contra Costa"
42.987443,-104.919086,"WY","Converse"
35.311464,-92.572763,"AR","Conway"
31.151742,-83.407143,"GA","Cook"
42.085626,-87.99822,"IL","Cook"
47.872285,-90.42294,"MN","Cook"
33.490924,-97.313913,"TX","Cooke"
38.819678,-92.606295,"MO","Cooper"
44.512344,-71.194226,"NH","Coos"
43.246918,-124.231068,"OR","Coos"
33.058725,-86.079106,"AL","Coosa"
31.965088,-90.375733,"MS","Copiah"
45.847567,-101.09974,"SD","Corson"
42.565932,-75.955301,"NY","Cortland"
31.202919,-97.930051,"TX","Coryell"
40.357237,-81.643638,"OH","Coshocton"
37.435812,-105.57348,"CO","Costilla"
34.074854,-100.258156,"TX","Cottle"
34.284738,-98.40044,"OK","Cotton"
43.900192,-95.046828,"MN","Cottonwood"
31.260882,-86.444833,"AL","Covington"
31.717905,-89.623543,"MS","Covington"
37.780216,-79.986963,"VA","Covington City"
33.275619,-84.741266,"GA","Coweta"
37.149582,-96.904215,"KS","Cowley"
46.379714,-123.056039,"WA","Cowlitz"
36.723649,-95.197639,"OK","Craig"
37.498957,-80.138591,"VA","Craig"
35.835847,-90.623071,"AR","Craighead"
31.500553,-102.347243,"TX","Crane"
35.129461,-77.01996,"NC","Craven"
35.479157,-94.193334,"AR","Crawford"
32.715632,-83.915762,"GA","Crawford"
41.911924,-95.135602,"IA","Crawford"
39.134986,-87.838419,"IL","Crawford"
38.329303,-86.575635,"IN","Crawford"
37.601241,-94.697518,"KS","Crawford"
44.786738,-84.697844,"MI","Crawford"
38.10595,-91.248694,"MO","Crawford"
40.832674,-82.973876,"OH","Crawford"
41.629436,-80.214024,"PA","Crawford"
